gene,gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,
Smp-159630,Smp_159630,3.68E-121,0.724959209,0.984,0.717,3.74E-117,Neo,Hypothetical protein
Smp-105360,Smp_105360,1.52E-113,0.524990578,0.951,0.584,1.55E-109,Neo,Neurogenic locus Notch protein
Smp-051920,Smp_051920,1.40E-103,1.476494597,0.927,0.465,1.42E-99,Neo,nanos 2
Smp-245590,Smp_245590,3.69E-100,0.729638029,0.973,0.694,3.75E-96,Neo,Microtubule-actin cross-linking factor 1
Smp-175590,Smp_175590,4.80E-91,0.848115215,0.962,0.563,4.87E-87,Neo,fibroblast growth factor receptor a
Smp-310550,Smp_310550,1.34E-86,0.952088554,0.995,0.806,1.36E-82,Neo,Nesprin-1
Smp-148110,Smp_148110,3.05E-84,0.682032977,0.966,0.66,3.10E-80,Neo,Transcription factor SOX-10
Smp-129710,Smp_129710,8.88E-84,0.884913896,0.984,0.633,9.02E-80,Neo,Restin homolog
Smp-333780,Smp_333780,6.01E-82,0.516022112,0.961,0.653,6.10E-78,Neo,Hypothetical protein
Smp-046500,Smp_046500,9.74E-81,0.94403031,0.988,0.815,9.89E-77,Neo,Proliferating cell nuclear antigen
Smp-135900,Smp_135900,4.83E-79,0.547481427,0.957,0.581,4.91E-75,Neo,Myosin-13
Smp-145470,Smp_145470,1.44E-76,0.831783467,0.872,0.518,1.47E-72,Neo,Zinc finger protein Gfi-1b
Smp-157300,Smp_157300,2.99E-76,1.086763002,0.922,0.557,3.04E-72,Neo,Fibroblast growth factor receptor 2
Smp-076600,Smp_076600,4.30E-76,0.679671456,0.918,0.542,4.37E-72,Neo,Putative transcription factor SOX-14
Smp-073300,Smp_073300,8.36E-76,1.019099723,0.941,0.553,8.49E-72,Neo,Peroxisomal acyl-coenzyme A oxidase 1
Smp-086860,Smp_086860,8.52E-76,0.969790443,0.978,0.699,8.65E-72,Neo,Histone H2A
Smp-082490,Smp_082490,3.11E-73,0.918837393,0.931,0.488,3.16E-69,Neo,G2/mitotic-specific cyclin-B2
Smp-021590,Smp_021590,3.31E-71,0.73498901,0.948,0.569,3.36E-67,Neo,Rac GTPase-activating protein 1
Smp-086220,Smp_086220,1.54E-68,0.704197612,0.983,0.666,1.57E-64,Neo,Myosin-4
Smp-058320,Smp_058320,9.32E-68,0.803968614,0.961,0.782,9.47E-64,Neo,Nuclear autoantigenic sperm protein
Smp-138470,Smp_138470,1.92E-67,0.847854004,0.918,0.588,1.95E-63,Neo,Guanylate kinase
Smp-069600,Smp_069600,8.55E-67,0.52691756,0.911,0.617,8.68E-63,Neo,ATP-dependent DNA helicase Q4
Smp-139530,Smp_139530,1.26E-66,0.544868666,0.938,0.632,1.28E-62,Neo,"cellular tumor antigen P53, putative"
Smp-333580,Smp_333580,2.50E-66,0.521229704,0.974,0.743,2.53E-62,Neo,Protein regulator of cytokinesis 1
Smp-009600,Smp_009600,4.68E-66,0.925608739,0.928,0.541,4.75E-62,Neo,serine:threonine protein kinase PLK1
Smp-154080,Smp_154080,1.55E-65,0.928672631,0.977,0.715,1.58E-61,Neo,MICOS complex subunit mic60
Smp-003770,Smp_003770,1.16E-64,0.668443064,1,0.99,1.18E-60,Neo,histone H1
Smp-087010,Smp_087010,9.47E-63,0.51780309,0.943,0.647,9.62E-59,Neo,DNA polymerase delta catalytic subunit
Smp-179320,Smp_179320,1.19E-62,0.825963736,0.91,0.564,1.21E-58,Neo,argonaute 2-1
Smp-172480,Smp_172480,8.01E-62,0.774832131,0.923,0.555,8.14E-58,Neo,Krueppel-like factor 14
Smp-037590,Smp_037590,4.00E-61,0.770458511,0.942,0.686,4.06E-57,Neo,Zygotic DNA replication licensing factor mcm3
Smp-072560,Smp_072560,1.99E-59,0.673610493,0.911,0.562,2.02E-55,Neo,Inner centromere protein
Smp-137390,Smp_137390,2.75E-59,0.643798561,0.928,0.576,2.79E-55,Neo,Histone RNA hairpin-binding protein
Smp-148590,Smp_148590,2.99E-59,0.735076775,0.964,0.596,3.04E-55,Neo,D-inositol 3-phosphate glycosyltransferase
Smp-157400,Smp_157400,5.81E-59,0.565902376,0.954,0.723,5.90E-55,Neo,Myosin-2
Smp-151320,Smp_151320,7.54E-59,0.58753171,0.943,0.597,7.66E-55,Neo,Targeting protein for Xklp2 homolog
Smp-125810,Smp_125810,1.91E-58,0.668197613,0.893,0.577,1.94E-54,Neo,Zinc finger protein 383
Smp-179650,Smp_179650,2.80E-58,0.699191022,0.991,0.89,2.85E-54,Neo,Chromobox protein homolog 5
Smp-164950,Smp_164950,9.08E-58,0.822203301,0.947,0.619,9.22E-54,Neo,Exodeoxyribonuclease 7 small subunit
Smp-080730,Smp_080730,1.36E-57,0.891947967,0.97,0.609,1.38E-53,Neo,Cyclin-dependent kinase 1
Smp-038560,Smp_038560,3.29E-57,0.522647092,1,0.981,3.34E-53,Neo,Retrotransposon-like protein 1
Smp-098850,Smp_098850,1.36E-56,0.668582922,0.94,0.585,1.38E-52,Neo,Interferon-stimulated 20 kDa exonuclease-like 2
Smp-345010,Smp_345010,3.09E-56,0.810265649,0.964,0.715,3.14E-52,Neo,Putative protein FAM47C
Smp-002600,Smp_002600,5.49E-55,0.772830869,0.905,0.59,5.57E-51,Neo,Lysosomal Pro-X carboxypeptidase
Smp-056350,Smp_056350,1.71E-54,0.637648516,0.935,0.59,1.73E-50,Neo,Mitotic spindle assembly checkpoint protein MAD2A
Smp-055890,Smp_055890,3.02E-54,0.788939097,0.96,0.754,3.07E-50,Neo,Ribonucleoside-diphosphate reductase subunit M2
Smp-340780,Smp_340780,3.43E-54,0.516404432,0.874,0.58,3.48E-50,Neo,Anillin
Smp-129410,Smp_129410,4.70E-54,0.879412005,0.971,0.569,4.77E-50,Neo,Protein GRIP
Smp-340900,Smp_340900,2.36E-53,0.563851516,0.998,0.963,2.39E-49,Neo,40S ribosomal protein S8
Smp-054840,Smp_054840,4.58E-53,0.731676438,0.936,0.598,4.65E-49,Neo,DNA replication licensing factor MCM2
Smp-176260,Smp_176260,1.13E-52,0.820017888,0.926,0.555,1.15E-48,Neo,Geminin
Smp-100090,Smp_100090,2.29E-52,0.549011136,0.991,0.925,2.32E-48,Neo,High mobility group protein DSP1
Smp-016870,Smp_016870,5.71E-51,0.644586302,0.906,0.577,5.80E-47,Neo,Protein regulator of cytokinesis 1
Smp-247170,Smp_247170,5.95E-51,0.694571592,0.974,0.885,6.04E-47,Neo,Major egg antigen
Smp-021140,Smp_021140,6.29E-51,0.548165285,0.999,0.987,6.39E-47,Neo,40S ribosomal protein S7
Smp-164040,Smp_164040,4.38E-50,0.588579096,0.888,0.496,4.45E-46,Neo,Tegument protein UL46 homolog
Smp-198020,Smp_198020,4.76E-50,0.515959062,0.974,0.741,4.83E-46,Neo,Catechol O-methyltransferase domain-containing protein 1
Smp-143490,Smp_143490,8.25E-50,0.73723178,0.884,0.54,8.38E-46,Neo,DNA replication licensing factor mcm5
Smp-074470,Smp_074470,3.10E-49,0.512704964,0.999,0.98,3.15E-45,Neo,40S ribosomal protein S23
Smp-210630,Smp_210630,3.72E-49,0.596696009,0.987,0.906,3.78E-45,Neo,Histone H2A.V
Smp-066760,Smp_066760,1.06E-48,0.70941412,0.972,0.771,1.07E-44,Neo,Moesin/ezrin/radixin homolog 1
Smp-032950,Smp_032950,1.76E-48,0.639100316,0.987,0.846,1.79E-44,Neo,Calcium-binding protein
Smp-162370,Smp_162370,2.90E-48,0.745702078,0.914,0.584,2.95E-44,Neo,"Histone H1, early embryonic"
Smp-172530,Smp_172530,1.68E-47,0.688811321,0.836,0.538,1.70E-43,Neo,DNA replication licensing factor mcm4-B
Smp-047610,Smp_047610,3.17E-47,0.57988616,0.888,0.576,3.22E-43,Neo,Cell division control protein 45 homolog
Smp-245030,Smp_245030,4.05E-47,0.706761937,0.909,0.588,4.11E-43,Neo,Importin subunit alpha-1
Smp-203630,Smp_203630,5.24E-47,0.521661721,0.989,0.899,5.32E-43,Neo,Hypothetical protein
Smp-337870,Smp_337870,7.76E-47,0.580633623,0.911,0.578,7.88E-43,Neo,Citron Rho-interacting kinase
Smp-179180,Smp_179180,1.15E-46,0.557699425,0.989,0.893,1.17E-42,Neo,40S ribosomal protein SA
Smp-141160,Smp_141160,3.30E-46,0.725851697,0.854,0.45,3.35E-42,Neo,E3 ubiquitin-protein ligase rnf168
Smp-246060,Smp_246060,3.58E-46,0.548928926,0.874,0.559,3.64E-42,Neo,Mini-chromosome maintenance complex-binding protein
Smp-018930,Smp_018930,5.69E-46,0.664602415,0.947,0.662,5.78E-42,Neo,Titin
Smp-079240,Smp_079240,6.00E-46,0.631595031,0.957,0.763,6.09E-42,Neo,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
Smp-125040,Smp_125040,3.83E-45,0.628777561,0.863,0.537,3.89E-41,Neo,Dynactin subunit 1
Smp-173700,Smp_173700,3.99E-45,0.631630945,0.941,0.721,4.06E-41,Neo,Structural maintenance of chromosomes protein 4
Smp-066890,Smp_066890,2.79E-44,0.508206617,1,0.979,2.84E-40,Neo,40S ribosomal protein S10
Smp-337770,Smp_337770,3.37E-44,0.665372424,0.987,0.889,3.42E-40,Neo,Translation machinery-associated protein 7
Smp-145810,Smp_145810,3.99E-44,0.584228011,0.893,0.617,4.05E-40,Neo,Poly [ADP-ribose] polymerase 2
Smp-011030,Smp_011030,7.25E-44,0.587263511,0.966,0.612,7.36E-40,Neo,BRCT-containing protein 1
Smp-094140,Smp_094140,3.21E-43,0.750851893,0.9,0.584,3.26E-39,Neo,Zygotic DNA replication licensing factor mcm6-B
Smp-074390,Smp_074390,1.79E-41,0.616271322,0.954,0.716,1.81E-37,Neo,Eukaryotic translation initiation factor 4E-binding protein 1
Smp-124300,Smp_124300,5.39E-41,0.540745507,0.938,0.712,5.48E-37,Neo,Lamin B receptor (ERG24)
Smp-342720,Smp_342720,3.12E-38,0.600574279,0.851,0.475,3.17E-34,Neo,Protein rIIB
Smp-047400,Smp_047400,1.57E-37,0.628307628,0.896,0.559,1.59E-33,Neo,Cell division cycle-associated protein 3
Smp-129260,Smp_129260,1.92E-37,0.519930205,0.915,0.716,1.95E-33,Neo,Poly [ADP-ribose] polymerase 1
Smp-084620,Smp_084620,3.33E-37,0.57758355,0.979,0.814,3.38E-33,Neo,Activated RNA polymerase II transcriptional coactivator p15
Smp-050820,Smp_050820,4.26E-37,0.511762594,0.924,0.697,4.32E-33,Neo,Replication factor C subunit 3
Smp-027920,Smp_027920,1.01E-36,0.551779565,0.896,0.605,1.03E-32,Neo,Tubulin alpha-1 chain
Smp-009030,Smp_009030,3.67E-36,0.679042382,0.909,0.676,3.73E-32,Neo,Ribonucleoside-diphosphate reductase large subunit
Smp-167880,Smp_167880,2.24E-35,0.562342219,0.889,0.662,2.27E-31,Neo,Acidic repeat-containing protein
Smp-032500,Smp_032500,4.27E-35,0.661898475,0.823,0.512,4.34E-31,Neo,DNA replication licensing factor mcm7-A
Smp-121460,Smp_121460,4.91E-35,0.538624729,0.899,0.64,4.98E-31,Neo,Hypothetical protein
Smp-105970,Smp_105970,6.71E-35,0.50338091,0.962,0.826,6.81E-31,Neo,Caprin-2
Smp-065150,Smp_065150,1.07E-34,0.628173983,0.81,0.46,1.09E-30,Neo,N-acetyltransferase ESCO2
Smp-008360,Smp_008360,1.14E-34,0.590254873,0.898,0.61,1.16E-30,Neo,Adenosine kinase 2
Smp-140240,Smp_140240,7.23E-33,0.571084856,0.882,0.558,7.35E-29,Neo,Nucleolar and spindle-associated protein 1
Smp-032490,Smp_032490,3.69E-32,0.509814331,0.885,0.613,3.75E-28,Neo,Protein Spindly
Smp-002080,Smp_002080,8.52E-32,0.556029793,0.95,0.793,8.66E-28,Neo,S-adenosylmethionine synthase isoform type-2
Smp-171710,Smp_171710,2.01E-31,0.520763469,0.875,0.659,2.04E-27,Neo,Structural maintenance of chromosomes protein 2
Smp-160190,Smp_160190,4.56E-31,0.611358574,0.913,0.666,4.63E-27,Neo,DNA primase small subunit
Smp-151360,Smp_151360,8.67E-31,0.519552293,0.768,0.474,8.81E-27,Neo,RNA polymerase-associated protein CTR9 homolog
Smp-057590,Smp_057590,5.22E-30,0.555704454,0.89,0.643,5.30E-26,Neo,UPF0051 protein ML0593
Smp-058990,Smp_058990,9.29E-30,0.541519665,0.911,0.661,9.44E-26,Neo,Meiotic nuclear division protein 1 homolog
Smp-124840,Smp_124840,4.64E-29,0.554774394,0.902,0.683,4.72E-25,Neo,Putative E3 ubiquitin-protein ligase UBR7
Smp-133350,Smp_133350,2.93E-28,0.50756345,0.939,0.726,2.98E-24,Neo,Nucleolar GTP-binding protein 1
Smp-212260,Smp_212260,1.32E-27,0.511287216,0.982,0.888,1.34E-23,Neo,Histone-binding protein RBBP4
Smp-136970,Smp_136970,6.90E-26,0.513240896,0.962,0.86,7.01E-22,Neo,Structural maintenance of chromosomes protein 1A
Smp-104580,Smp_104580,3.89E-24,0.506230209,0.848,0.645,3.95E-20,Neo,Ribulose-phosphate 3-epimerase
Smp-196950,Smp_196950,1.15E-117,0.580617142,0.985,0.718,1.17E-113,S1,One cut domain family member 3
Smp-041540,Smp_041540,2.05E-117,1.410843044,0.999,0.822,2.08E-113,S1,Hypothetical protein
Smp-248100,Smp_248100,4.69E-117,0.943887828,0.991,0.772,4.76E-113,S1,Ecdysone-induced protein 78C
Smp-059980,Smp_059980,1.72E-114,1.29395934,0.984,0.768,1.74E-110,S1,arginase
Smp-104970,Smp_104970,7.92E-103,0.577800297,0.972,0.759,8.04E-99,S1,Leucine-rich repeat and fibronectin type-III domain-containing protein 5
Smp-314250,Smp_314250,3.50E-99,0.887367622,0.967,0.792,3.55E-95,S1,E3 ubiquitin-protein ligase MARCH2
Smp-008545,Smp_008545,7.67E-97,0.781936242,0.997,0.913,7.79E-93,S1,heat shock protein 60
Smp-100090,Smp_100090,1.99E-91,0.806211443,0.997,0.933,2.02E-87,S1,High mobility group protein DSP1
Smp-097380,Smp_097380,3.21E-91,0.71459238,0.993,0.909,3.26E-87,S1,"10 kDa heat shock protein, mitochondrial"
Smp-102040,Smp_102040,2.88E-84,0.617907276,0.999,0.957,2.93E-80,S1,Guanine nucleotide-binding protein subunit beta-2-like 1
Smp-055740,Smp_055740,4.64E-83,0.960869239,0.91,0.605,4.71E-79,S1,Nanos homolog 1
Smp-347110,Smp_347110,1.01E-80,0.604327961,0.999,0.949,1.02E-76,S1,60S ribosomal protein L5
Smp-179650,Smp_179650,6.16E-78,0.745324538,0.994,0.903,6.26E-74,S1,Chromobox protein homolog 5
Smp-125740,Smp_125740,1.73E-76,0.785800193,0.9,0.596,1.76E-72,S1,E3 ubiquitin-protein ligase MARCH2
Smp-013200,Smp_013200,6.05E-75,0.523901494,0.999,0.974,6.14E-71,S1,60S ribosomal protein L10
Smp-086860,Smp_086860,3.39E-73,0.868046999,0.993,0.732,3.44E-69,S1,Histone H2A
Smp-046500,Smp_046500,2.03E-72,0.788045085,0.996,0.836,2.06E-68,S1,Proliferating cell nuclear antigen
Smp-074190,Smp_074190,2.10E-71,0.858404468,0.985,0.824,2.14E-67,S1,Natterin-4
Smp-153790,Smp_153790,3.29E-71,0.563951827,0.998,0.944,3.34E-67,S1,60S ribosomal protein L4
Smp-098960,Smp_098960,6.81E-71,0.573723505,0.999,0.983,6.92E-67,S1,60S ribosomal protein L26
Smp-331190,Smp_331190,1.22E-70,0.541739949,0.879,0.667,1.24E-66,S1,Acetylcholine receptor subunit alpha-type acr-5
Smp-127820,Smp_127820,6.27E-70,0.669130766,0.991,0.762,6.37E-66,S1,Neuronal cell adhesion molecule
Smp-179320,Smp_179320,2.32E-69,0.762949353,0.955,0.603,2.35E-65,S1,argonaute 2-1
Smp-009600,Smp_009600,1.71E-68,0.762451621,0.976,0.584,1.74E-64,S1,serine:threonine protein kinase PLK1
Smp-004990,Smp_004990,3.25E-68,0.621187759,0.995,0.904,3.30E-64,S1,T-complex protein 1 subunit zeta
Smp-158770,Smp_158770,7.13E-68,0.500119955,0.91,0.533,7.24E-64,S1,Thiol:disulfide interchange protein DsbD
Smp-305070,Smp_305070,2.94E-66,0.528674819,0.891,0.548,2.98E-62,S1,NEDD4-binding protein 1
Smp-041980,Smp_041980,3.22E-64,0.585212055,0.999,0.969,3.27E-60,S1,60S acidic ribosomal protein P1
Smp-029240,Smp_029240,6.93E-64,0.673007724,0.99,0.851,7.04E-60,S1,Protein arginine N-methyltransferase 1
Smp-087760,Smp_087760,3.34E-63,0.530874085,0.996,0.911,3.39E-59,S1,Ferritin 1 heavy chain
Smp-100380,Smp_100380,4.59E-63,0.555113422,0.977,0.744,4.66E-59,S1,DNA replication complex GINS protein PSF2
Smp-027920,Smp_027920,1.05E-61,0.660795892,0.967,0.634,1.07E-57,S1,Tubulin alpha-1 chain
Smp-337330,Smp_337330,1.67E-61,0.569694313,0.994,0.911,1.70E-57,S1,60S ribosomal protein L21
Smp-011030,Smp_011030,1.50E-60,0.638739546,0.978,0.654,1.52E-56,S1,BRCT-containing protein 1
Smp-203630,Smp_203630,1.77E-60,0.572687992,0.996,0.91,1.79E-56,S1,Hypothetical protein
Smp-066990,Smp_066990,2.59E-60,0.51295589,0.999,0.969,2.63E-56,S1,40S rRNA protein homolog
Smp-194780,Smp_194780,7.07E-60,0.566190408,0.848,0.501,7.18E-56,S1,Hemicentin-2
Smp-050820,Smp_050820,1.38E-59,0.656730143,0.966,0.721,1.40E-55,S1,Replication factor C subunit 3
Smp-024180,Smp_024180,1.80E-59,0.558625387,0.988,0.801,1.82E-55,S1,Placenta-specific gene 8 protein
Smp-083410,Smp_083410,2.87E-59,0.644414021,0.999,0.907,2.92E-55,S1,Elongation factor 1-gamma
Smp-016870,Smp_016870,3.71E-59,0.503839083,0.945,0.614,3.76E-55,S1,Protein regulator of cytokinesis 1
Smp-047200,Smp_047200,4.80E-59,0.525601683,0.999,0.955,4.87E-55,S1,60S ribosomal protein L3
Smp-050940,Smp_050940,5.71E-59,0.531204791,0.999,0.975,5.80E-55,S1,60S ribosomal protein L11
Smp-181410,Smp_181410,6.80E-58,0.615054846,0.976,0.752,6.91E-54,S1,Protein-arginine kinase activator protein
Smp-341240,Smp_341240,1.77E-57,0.645952186,0.994,0.856,1.80E-53,S1,Prohibitin
Smp-055890,Smp_055890,2.37E-56,0.578436623,0.981,0.777,2.41E-52,S1,Ribonucleoside-diphosphate reductase subunit M2
Smp-108390,Smp_108390,6.07E-56,0.789432228,0.987,0.753,6.17E-52,S1,Histone H2B.1/H2B.2
Smp-080730,Smp_080730,6.87E-56,0.645555036,0.981,0.653,6.98E-52,S1,Cyclin-dependent kinase 1
Smp-056350,Smp_056350,9.48E-56,0.581848768,0.947,0.632,9.63E-52,S1,Mitotic spindle assembly checkpoint protein MAD2A
Smp-021140,Smp_021140,9.19E-55,0.512884165,1,0.989,9.33E-51,S1,40S ribosomal protein S7
Smp-063350,Smp_063350,1.73E-54,0.536913576,0.999,0.97,1.75E-50,S1,60S ribosomal protein L27
Smp-094140,Smp_094140,1.96E-54,0.632650642,0.939,0.619,1.99E-50,S1,Zygotic DNA replication licensing factor mcm6-B
Smp-143490,Smp_143490,2.04E-54,0.648901081,0.96,0.575,2.07E-50,S1,DNA replication licensing factor mcm5
Smp-340900,Smp_340900,2.43E-54,0.501052638,0.999,0.967,2.47E-50,S1,40S ribosomal protein S8
Smp-340420,Smp_340420,3.44E-54,0.564773377,0.968,0.744,3.50E-50,S1,H/ACA ribonucleoprotein complex subunit 1
Smp-063420,Smp_063420,3.55E-54,0.599905896,0.997,0.921,3.60E-50,S1,T-complex protein 1 subunit epsilon
